"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2010","2010",14.6397131070826,,
"AUS","Australia","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2011","2011",14.8666923904297,,
"AUS","Australia","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2012","2012",15.1453799776997,,
"AUS","Australia","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2013","2013",15.3704485747848,,
"AUS","Australia","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2014","2014",15.594869493047,,
"AUS","Australia","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2015","2015",15.8238465482678,,
"AUS","Australia","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2016","2016",16.0520691559836,,
"AUS","Australia","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2017","2017",16.2697802645407,,
"AUS","Australia","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",16.5249642501068,,
"AUS","Australia","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2019","2019",16.8043653991501,,
"AUS","Australia","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2020","2020",17.2147018798674,,
"AUS","Australia","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2021","2021",17.7158020516324,,
"AUS","Australia","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2010","2010",12.463257320431,,
"AUS","Australia","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2011","2011",12.7682327966834,,
"AUS","Australia","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2012","2012",13.1192411830695,,
"AUS","Australia","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2013","2013",13.4191539926639,,
"AUS","Australia","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2014","2014",13.7191690079934,,
"AUS","Australia","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2015","2015",14.0119695777319,,
"AUS","Australia","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2016","2016",14.2950964334949,,
"AUS","Australia","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2017","2017",14.5340333356004,,
"AUS","Australia","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",14.7865692005563,,
"AUS","Australia","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2019","2019",15.036213637607,,
"AUS","Australia","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2020","2020",15.4329424992095,,
"AUS","Australia","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2021","2021",15.9056322378652,,
"AUS","Australia","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2010","2010",13.556231347941,,
"AUS","Australia","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2011","2011",13.8223262428008,,
"AUS","Australia","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2012","2012",14.1371014053511,,
